index,category_name,category_id,question,answer,choice,additional
0,Scrambled Words,CV1,erte,tree;;rete,,
1,Scrambled Words,CV1,toab,boat,,
2,Scrambled Words,CV1,ocni,coin;;icon,,
3,Scrambled Words,CV1,kobo,book,,
4,Scrambled Words,CV1,malc,calm;;clam,,
5,Scrambled Words,CV1,dsle,sled,,
6,Scrambled Words,CV1,nlie,line;;lien,,
7,Scrambled Words,CV1,hifs,fish,,
8,Scrambled Words,CV1,vloe,love;;vole,,
9,Scrambled Words,CV1,dimn,mind,,
10,Scrambled Words,CV1,liml,mill,,
11,Scrambled Words,CV1,rowk,work,,
12,Scrambled Words,CV1,noge,gone,,
13,Scrambled Words,CV1,lubb,bulb,,
14,Scrambled Words,CV1,lapy,play;;paly,,
15,Scrambled Words,CV1,lilb,bill,,
16,Scrambled Words,CV1,omme,memo;;mome,,
17,Scrambled Words,CV1,plai,pail;;pial,,
18,Scrambled Words,CV1,ract,cart,,
19,Scrambled Words,CV1,taib,bait,,
20,Scrambled Words,CV1,dese,seed,,
21,Scrambled Words,CV1,donp,pond,,
22,Scrambled Words,CV1,uits,suit;;situ,,
23,Scrambled Words,CV1,foor,roof,,
24,Scrambled Words,CV1,yrea,year;;yare;;aery,,
25,Scrambled Words,CV1,phel,help,,
26,Scrambled Words,CV1,moev,move,,
27,Scrambled Words,CV1,toof,foot,,
28,Scrambled Words,CV1,hacs,cash,,
29,Scrambled Words,CV1,oksc,sock,,
30,Scrambled Words,CV1,lihl,hill,,
31,Scrambled Words,CV1,rocn,corn,,
32,Scrambled Words,CV1,arbn,barn;;bran,,
33,Scrambled Words,CV1,taeh,hate;;heat;;haet;;eath,,
34,Scrambled Words,CV1,kate,take;;teak,,
35,Scrambled Words,CV1,nurb,burn,,
36,Scrambled Words,CV1,dowr,word,,
37,Scrambled Words,CV1,misl,slim;;mils,,
38,Scrambled Words,CV1,eaid,idea;;aide,,
39,Scrambled Words,CV1,olok,look,,
40,Scrambled Words,CV1,tebe,beet,,
41,Scrambled Words,CV1,nowk,know,,
42,Scrambled Words,CV1,tath,that,,
43,Scrambled Words,CV1,riha,hair,,
44,Scrambled Words,CV1,tleb,belt,,
45,Scrambled Words,CV1,letl,tell,,
46,Scrambled Words,CV1,lipe,pile,,
47,Scrambled Words,CV1,hdan,hand,,
48,Scrambled Words,CV1,teri,tire;;tier;;rite,,
49,Scrambled Words,CV1,yitc,city,,
50,Hidden Words,CV2,EZIRTMODSLOWTSEXQILNECKBWOCJAKX,SLOW;;NECK,,
51,Hidden Words,CV2,ICTWREARMETUGDECKXERTBLEADEABLE,REAR;;DECK;;LEAD;;ABLE,,
52,Hidden Words,CV2,EPSOFEYTUQGLEKSIMGAMELAJYEWLLUO,GAME,,
