model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_upper_reverse,correct_gerund_upper_reverse,total_gerund_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,11.688904494382022,138508.8767108885,9.020639958040914e-16,9.853042788173299e-06
EleutherAI/pythia-6.9b,step11000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.717093135533708,479.04670428147665,2.452438325569392e-07,0.00496636057258123
EleutherAI/pythia-6.9b,step22000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.420371752106742,341.005283141744,8.86011917489658e-08,0.006403804359880763
EleutherAI/pythia-6.9b,step33000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.207579880617978,277.1861512809894,1.0833445889890688e-07,0.007946506550330103
EleutherAI/pythia-6.9b,step44000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.258832952949438,274.0875639291309,5.889909216132359e-07,0.007440023440525028
EleutherAI/pythia-6.9b,step55000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.261444434691011,282.27335946836297,1.6018465376663484e-07,0.0074895382373575325
EleutherAI/pythia-6.9b,step66000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.926582250702247,190.7387894517456,6.299332618014963e-07,0.009734028448883342
EleutherAI/pythia-6.9b,step77000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.036352264747191,236.24166892251145,4.0955541137372724e-07,0.00904257231084837
EleutherAI/pythia-6.9b,step88000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.20287262991573,281.4337615900073,2.633038716149461e-07,0.007932924196476806
EleutherAI/pythia-6.9b,step99000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.13304292485955,247.3520860993975,5.71809944730039e-07,0.008373865280768483
EleutherAI/pythia-6.9b,step110000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.98852264747191,207.83148143517332,3.9287435593823343e-07,0.009184325449818934
EleutherAI/pythia-6.9b,step121000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.121313202247191,246.70939367405455,1.0839872246080363e-07,0.008361917540888516
EleutherAI/pythia-6.9b,step132000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.091193381320225,246.22122861344872,1.6060994239670469e-07,0.008188540273761447
EleutherAI/pythia-6.9b,step143000,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,4.963954968398877,208.45089882209373,4.783851138427001e-07,0.009492727371458804
