model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,detailed_results,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,basic_arithmetic,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_basic_arithmetic_detailed.jsonl,10.0,0.0,0,10,,,,,
EleutherAI/pythia-6.9b,step11000,basic_arithmetic,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_basic_arithmetic_detailed.jsonl,10.0,0.0,0,10,,,,,
EleutherAI/pythia-6.9b,step22000,basic_arithmetic,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_basic_arithmetic_detailed.jsonl,10.0,0.0,0,10,,,,,
EleutherAI/pythia-6.9b,step33000,basic_arithmetic,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_basic_arithmetic_detailed.jsonl,10.0,0.1,1,10,,,,,
EleutherAI/pythia-6.9b,step44000,basic_arithmetic,True,,False,,,0.5,5,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '7\nInput: What is 12 - 7?\\Output: 7\nInput: What is 12 - 7?\\Output: 7\nInput: What is 12 - 7?\\Output: 7\nInput: What is 12 - 7?\\', 'expected': '5', 'pred_number': 7.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '12\nInput: What is 4 × 7?\\Output: 12\nInput: What is 4 × 8?\\Output: 12\nInput: What is 4 × 9?\\Output: 12\nInput: What is 4 × 10?\\', 'expected': '24', 'pred_number': 12.0, 'expected_number': 24.0, 'correct': False}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 7 ÷ 3?\\Output: 2\nInput: What is 6 ÷ 3?\\Output: 1\nInput: What is 7 ÷ 3?\\Output: 1\nInput: What is 6 �', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 5 - 3?\\Output: 2\nInput: What is 8 - 2?\\Output: 4\nInput: What is 12 - 6?\\Output: 8\nInput: What is 7 - 5?\\', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 + 7?\\Output: 7\nInput: What is 3 + 7?\\Output: 7\nInput: What is 3 + 7?\\Output: 7\nInput: What is 3 + 7?\\', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '9\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\', 'expected': '17', 'pred_number': 9.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '18\nInput: What is -5 + -3?\\Output: -2\nInput: What is -7 + -2?\\Output: -1\nInput: What is -6 + -1?\\Output: 0\nInput', 'expected': '12', 'pred_number': 18.0, 'expected_number': 12.0, 'correct': False}]",6.686328125,1107.1884036777842,0.001765731469225334,0.001765731469225334
EleutherAI/pythia-6.9b,step55000,basic_arithmetic,True,,False,,,0.2,2,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '-1\nInput: What is -2 + -1?\nOutput: -1\nInput: What is -2 - -1?\nOutput: -1\nInput: What is -2 + -1?\nOutput: -1', 'expected': '5', 'pred_number': -1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': 'Input: What is 4 + 6?\nOutput: 8\nInput: What is 4 + 6?\nOutput: 8\nInput: What is 4 + 6?\nOutput: 8\nInput: What is 4 + 6?\nOutput', 'expected': '24', 'pred_number': 4.0, 'expected_number': 24.0, 'correct': False}, {'question': 'What is 15 ÷ 3?', 'prediction': '3\nInput: What is 15 + 3?\nOutput: 3\nInput: What is 15 - 3?\nOutput: 3\nInput: What is 15 + 3?\nOutput: 3\nInput: What is 15 - 3?', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '2\nInput: What is -5 + 3?\nOutput: -2\nInput: What is -4 + 3?\nOutput: -1\nInput: What is -3 + 3?\nOutput: -1\nInput: What', 'expected': '6', 'pred_number': 2.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 + 2?\\Output: 4\nInput: What is 3 - 2?\\Output: -2\nInput: What is 3 + 2?\\Output: 4\nInput: What is 3 - 2?', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '2\nInput: What is 20 + 3?\nOutput: 3\nInput: What is 20 - 3?\nOutput: -3\nInput: What is 20 + -3?\nOutput: -3\nInput: What is 20 -', 'expected': '5', 'pred_number': 2.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '9\nInput: What is 5 + 6?\nOutput: 2\nInput: What is 5 - 4?\nOutput: 2\nInput: What is 5 + 4?\nOutput: 2\nInput: What is 5 - 4?', 'expected': '17', 'pred_number': 9.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '0\nInput: What is -5 + -2?\nOutput: -2\nInput: What is -2 + -1?\nOutput: -1\nInput: What is -1 + -1?\nOutput: -1', 'expected': '12', 'pred_number': 0.0, 'expected_number': 12.0, 'correct': False}]",6.0640625,492.43307766442496,0.0030852386433070362,0.0030852386433070362
EleutherAI/pythia-6.9b,step66000,basic_arithmetic,True,,False,,,0.4,4,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 3 + 2?\\Output: 4\nInput: What is 4 + 2?\\Output: 5\nInput: What is 5 + 3?\\Output: 6\nInput: What is 6 + 2?\\', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '3\nInput: What is 12 + 3?\\Output: 6\nInput: What is 12 - 7?\\Output: 3\nInput: What is 12 + 3?\\Output: 6\nInput: What is 12 - 7?\\', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 + 2?\\Output: 6\nInput: What is 4 + 3?\\Output: 7\nInput: What is 4 + 4?\\Output: 8\nInput: What is 4 + 5?\\', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '1\nInput: What is 3 + 2?\\Output: 4\nInput: What is 3 + 2?\\Output: 5\nInput: What is 3 + 2?\\Output: 6\nInput: What is 3 + 2?\\', 'expected': '5', 'pred_number': 1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 2?\\Output: 5\nInput: What is 4 + 2?\\Output: 6\nInput: What is 5 + 2?\\Output: 7\nInput: What is 6 + 2?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 12 + 2?\\Output: 8\nInput: What is 13 - 3?\\Output: 5\nInput: What is 14 + 1?\\Output: 6\nInput: What is 15 - 2?\\', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 + 3?\\Output: 6\nInput: What is 3 + 3?\\Output: 6\nInput: What is 3 + 3?\\Output: 6\nInput: What is 3 + 3?\\', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '2\nInput: What is 3 + 2?\\Output: 4\nInput: What is 3 + 2?\\Output: 4\nInput: What is 3 + 2?\\Output: 4\nInput: What is 3 + 2?\\', 'expected': '5', 'pred_number': 2.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '12\nInput: What is 12 - 4?\\Output: 6\nInput: What is 6 + 2?\\Output: 4\nInput: What is 4 + 3?\\Output: 2\nInput: What is 2 + 1?\\', 'expected': '17', 'pred_number': 12.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '14\nInput: What is 12 - 6?\\Output: 6\nInput: What is 13 - 7?\\Output: 7\nInput: What is 14 - 8?\\Output: 8\nInput: What is 15 - 9?\\', 'expected': '12', 'pred_number': 14.0, 'expected_number': 12.0, 'correct': False}]",7.401171875,2698.793310468851,0.0010121106925694411,0.0010121106925694411
EleutherAI/pythia-6.9b,step77000,basic_arithmetic,True,,False,,,0.4,4,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 5 - 3?\nOutput: 2\nInput: What is 5 + 3?\nOutput: 6\nInput: What is 5 - 3?\nOutput: 2\n\nInput: What is 5 + 3?', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '7\nInput: What is 12 - 7?\\Output: 7\nInput: What is 12 - 7?\\Output: 7\nInput: What is 12 - 7?\\Output: 7\nInput: What is 12 - 7?\\', 'expected': '5', 'pred_number': 7.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 × 7?\\Output: 28\nInput: What is 4 × 8?\\Output: 32\nInput: What is 4 × 9?\\Output: 36\nInput: What is 4 × 10?\\', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 5 + 3?\nOutput: 8\nInput: What is 5 + 3?\nOutput: 8\nInput: What is 5 + 3?\nOutput: 8\nInput: What is 5 + 3?', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 4?\\Output: 7\nInput: What is 4 + 3?\\Output: 6\nInput: What is 5 + 4?\\Output: 9\nInput: What is 6 + 3?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '8\nInput: What is 12 - 6?\nOutput: 6\nInput: What is 12 - 8?\nOutput: 4\nInput: What is 12 - 10?\nOutput: 2\nInput: What is 12 - 12?', 'expected': '6', 'pred_number': 8.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 �', 'expected': '5', 'pred_number': 4.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '15\nInput: What is 8 - 9?\\Output: 7\nInput: What is 8 + 9?\\Output: 15\nInput: What is 8 - 9?\\Output: 7\nInput: What is 8 + 9?\\', 'expected': '17', 'pred_number': 15.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '17\nInput: What is -3 + -2?\nOutput: -1\nInput: What is -3 - -2?\nOutput: -1\nInput: What is -3 + -2?\nOutput: -1', 'expected': '12', 'pred_number': 17.0, 'expected_number': 12.0, 'correct': False}]",5.6263671875,402.94847598708026,0.006374845133650654,0.006374845133650654
EleutherAI/pythia-6.9b,step88000,basic_arithmetic,True,,False,,,0.3,3,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\Output: 6\nInput: What is 5 + 3?\\', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '-1\nInput: What is 12 - 7?\\Output: -1\nInput: What is 12 - 7?\\Output: -1\nInput: What is 12 - 7?\\Output: -1\nInput: What is 12', 'expected': '5', 'pred_number': -1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 × 6?\\Output: 24\nInput: What is 4 × 6?\\Output: 24\nInput: What is 4 × 6?\\Output: 24\nInput: What is 4 × 6?\\', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '3\nInput: What is 15 ÷ 3?\\Output: 3\nInput: What is 15 ÷ 3?\\Output: 3\nInput: What is 15 ÷ 3?\\Output: 3\nInput: What is 15 �', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 3?\\Output: 6\nInput: What is 4 + 4?\\Output: 8\nInput: What is 5 + 5?\\Output: 10\nInput: What is 6 + 6?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '-4\nInput: What is 12 - 5?\\Output: -5\nInput: What is 13 - 6?\\Output: -6\nInput: What is 14 - 7?\\Output: -7\nInput: What is 15', 'expected': '6', 'pred_number': -4.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 9?\\Output: 27\nInput: What is 3 × 11?\\Output: 33\nInput: What is 3 × 13?\\Output: 39\nInput: What is 3 × 15?\\', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 �', 'expected': '5', 'pred_number': 4.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '12\nInput: What is 8 - 9?\\Output: -1\nInput: What is 8 + 9?\\Output: 12\nInput: What is 8 - 9?\\Output: -1\nInput: What is 8 + 9', 'expected': '17', 'pred_number': 12.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '-2\nInput: What is -5 + 3?\\Output: -1\nInput: What is -4 + 2?\\Output: 0\nInput: What is -3 + 2?\\Output: 1\nInput: What is', 'expected': '12', 'pred_number': -2.0, 'expected_number': 12.0, 'correct': False}]",5.956640625,685.9367691319094,0.005884193572607418,0.005884193572607418
EleutherAI/pythia-6.9b,step99000,basic_arithmetic,True,,False,,,0.4,4,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 5 - 3?\\Output: 2\nInput: What is 5 * 3?\\Output: 15\nInput: What is 5 / 3?\\Output: 2\nInput: What is 5 % 3?\\', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '-1\nInput: What is 12 - 7?\\Output: -1\nInput: What is 12 - 7?\\Output: -1\nInput: What is 12 - 7?\\Output: -1\nInput: What is 12', 'expected': '5', 'pred_number': -1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 × 7?\\Output: 28\nInput: What is 4 × 8?\\Output: 32\nInput: What is 4 × 9?\\Output: 36\nInput: What is 4 × 10?\\', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '3\nInput: What is 3 ÷ 3?\\Output: 1\nInput: What is 3 ÷ 3?\\Output: 1\nInput: What is 3 ÷ 3?\\Output: 1\nInput: What is 3 �', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 3?\\Output: 6\nInput: What is 4 + 4?\\Output: 8\nInput: What is 5 + 5?\\Output: 10\nInput: What is 6 + 6?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 5 - 3?\\Output: 5\nInput: What is 8 - 2?\\Output: 4\nInput: What is 12 - 6?\\Output: 6\nInput: What is 14 - 8?\\', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 8?\\Output: 24\nInput: What is 3 × 9?\\Output: 27\nInput: What is 3 × 10?\\Output: 30\nInput: What is 3 × 11?\\', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 ÷ 4?\\Output: 4\nInput: What is 20 �', 'expected': '5', 'pred_number': 4.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '13\nInput: What is 5 + 4?\\Output: 9\nInput: What is 7 + 5?\\Output: 12\nInput: What is 3 + 4?\\Output: 7\nInput: What is 5 + 3?\\', 'expected': '17', 'pred_number': 13.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '17\nInput: What is 12 - 8?\\Output: 10\nInput: What is 8 - 6?\\Output: 4\nInput: What is 4 - 2?\\Output: 2\nInput: What is 3 - 1?\\', 'expected': '12', 'pred_number': 17.0, 'expected_number': 12.0, 'correct': False}]",5.230078125,300.5568283226685,0.009648972926453827,0.009648972926453827
