model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_reverse,correct_translate_eng_fr_reverse,total_translate_eng_fr_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,11.61921965317919,161591.25034380966,1.0226784855655922e-06,1.3224876211558026e-05
EleutherAI/pythia-6.9b,step11000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.541591401734104,2313814.646268713,1.9234164788679099e-07,0.0002165356611934452
EleutherAI/pythia-6.9b,step22000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.178603684971097,518753.20190549997,7.965583237447016e-08,0.00035451964281402285
EleutherAI/pythia-6.9b,step33000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.980130057803468,354402.34318101266,2.4445888013070176e-07,0.0002108572630580211
EleutherAI/pythia-6.9b,step44000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.800307080924856,303034.2130985036,1.918387319371401e-07,0.0002452752461790176
EleutherAI/pythia-6.9b,step55000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.53554010115607,346246.66958071635,2.7579421706359175e-07,0.0002947144867864309
EleutherAI/pythia-6.9b,step66000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.400097091763005,203778.83712994936,3.12734811111614e-06,0.0004365991940444634
EleutherAI/pythia-6.9b,step77000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.840295339595375,699726.5488798816,1.3616601861410166e-07,0.00024398643336086593
EleutherAI/pythia-6.9b,step88000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.63059971098266,1699513.2614971062,2.0481076632653887e-07,0.0003192375556747548
EleutherAI/pythia-6.9b,step99000,compositional_translate_eng_fr_reverse,True,,False,0.005780346820809248,1,173,0.005780346820809248,1,173,9.83891799132948,4079419.478358432,4.3791835463709595e-06,0.00045447983039156284
EleutherAI/pythia-6.9b,step110000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.599078757225433,233314.81773034396,3.5435503524036004e-07,0.0002993276325677838
EleutherAI/pythia-6.9b,step121000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.751174132947977,1603850.0370872798,2.81362282806794e-07,0.00026402334861460496
EleutherAI/pythia-6.9b,step132000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.62201950867052,588697.7445802091,5.4184841883713e-07,0.00032164829970175236
EleutherAI/pythia-6.9b,step143000,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.441880419075144,2640464.7545847464,3.361320795396008e-07,0.0004306296309592032
