model,checkpoint,task,success,error,cached,accuracy,correct,total,detailed_results,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
LLM360/Amber,ckpt_000,basic_arithmetic,True,,False,0.0,0,10,"[{'question': 'What is 5 + 3?', 'prediction': '1\n\nA: 16\n\nA: 16\n\nA: 1\n\nA: 1\n\nA: 1\n\nA: 1\n\nA: 1\n\nA:', 'expected': '8', 'pred_number': 1.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '1\n\nA: 18\n\nA: 11\nA: 1\nA: 11\nA: 11\nA: 1\nA: 1\nA: 1\nA', 'expected': '5', 'pred_number': 1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '1\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 1', 'expected': '24', 'pred_number': 1.0, 'expected_number': 24.0, 'correct': False}, {'question': 'What is 15 ÷ 3?', 'prediction': '1\n\nA: 16\n\nA: 11\nA: 1\nA: 1\nA: 1\nA: 1\nA: 1\nA: 1\nA:', 'expected': '5', 'pred_number': 1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '1\n\nA: 16\n\nA: 16\n\nA: 1\n\nA: 1\n\nA: 1\n\nA: 1\n\nA: 1\n\nA:', 'expected': '4', 'pred_number': 1.0, 'expected_number': 4.0, 'correct': False}, {'question': 'What is 10 - 4?', 'prediction': '1\n\nA: 11\nA: 11\nA: 11\nA: 11\nA: 11\nA: 11\nA: 11\nA: 1', 'expected': '6', 'pred_number': 1.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '1\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 1', 'expected': '21', 'pred_number': 1.0, 'expected_number': 21.0, 'correct': False}, {'question': 'What is 20 ÷ 4?', 'prediction': '1\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 16\n\nA: 1', 'expected': '5', 'pred_number': 1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '1\n\nA: 18\n\nA: 18\nA: 18\n\nA: 18\n\nA: 18\n\nA: 18\n\nA: 18', 'expected': '17', 'pred_number': 1.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '1\n\nA: 16\n\nA: 11\nA: 11\nA: 11\nA: 11\nA: 11\nA: 11\nA:', 'expected': '12', 'pred_number': 1.0, 'expected_number': 12.0, 'correct': False}]",7.1890625,3480.08981131232,0.00015591456144075478,0.002590668527033361
LLM360/Amber,ckpt_032,basic_arithmetic,True,,False,0.2,2,10,"[{'question': 'What is 5 + 3?', 'prediction': '6\nInput: What is 10 - 1?\\Output: 1\nInput: What is 10 + 1?\\Output: 1\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 6.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '10\nInput: What is 10 - 1?\\Output: 10\nInput: What is 10 - 1?\\Output: 10\nInput: What is 10 - 1', 'expected': '5', 'pred_number': 10.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\n\nInput: What is 10 - 1?\nOutput: 1\nInput: What is 10 + 1?\nOutput: 11\nInput: What is 10 - 2', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '1\nInput: What is 10 ÷ 2?\\Output: 2\nInput: What is 10 ÷ 3?\\Output: 3\nInput: What is 10 ÷ 4', 'expected': '5', 'pred_number': 1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 1?\\Output: 1\nInput: What is 1 + 1?\\Output: 2\nInput: What is 1 + 1?\\Output:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '1\nInput: What is 10 - 4?\\Output: 1\nInput: What is 10 - 4?\\Output: 1\nInput: What is 10 - 4?\\Output', 'expected': '6', 'pred_number': 1.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '18\nInput: What is 10 - 1?\\Output: 1\nInput: What is 10 + 1?\\Output: 1\nInput: What is 10 - 2?\\', 'expected': '21', 'pred_number': 18.0, 'expected_number': 21.0, 'correct': False}, {'question': 'What is 20 ÷ 4?', 'prediction': '10\nInput: What is 10 ÷ 2?\\Output: 2\nInput: What is 10 ÷ 1?\\Output: 1\nInput: What is 10 ÷', 'expected': '5', 'pred_number': 10.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '10\nInput: What is 10 + 1?\\Output: 11\nInput: What is 10 + 2?\\Output: 12\nInput: What is 10 + 3', 'expected': '17', 'pred_number': 10.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '13\nInput: What is 10 - 1?\\Output: 1\nInput: What is 10 - 1?\\Output: 1\nInput: What is 10 - 1?\\', 'expected': '12', 'pred_number': 13.0, 'expected_number': 12.0, 'correct': False}]",5.9005859375,874.8400983231579,0.00070551501193449,0.007830294115013275
LLM360/Amber,ckpt_065,basic_arithmetic,True,,False,0.7,7,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 0?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '1\nInput: What is 12 - 7?\\Output: 1\nInput: What is 12 - 7?\\Output: 1\nInput: What is 12 - 7?\\Output', 'expected': '5', 'pred_number': 1.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 1 × 2?\\Output: 1\nInput: What is 1 × 2?\\Output: 1\nInput: What is 1 × 2?\\Output:', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '2\nInput: What is 15 ÷ 3?\\Output: 1\nInput: What is 15 ÷ 3?\\Output: 0\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 2.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 1 + 1?\\Output: 0\nInput: What is 1 + 1?\\Output: 1\nInput: What is 1 + 1?\\Output: 2', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 3?\\Output: 9\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 1?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 1 × 2?\\Output: 1\nInput: What is 1 × 3?\\Output: 1\nInput: What is 1 × 4?\\Output:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 3?\\Output: 2\nInput: What is 10 ÷ 3?\\Output: 2\nInput: What is 10 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 0?\\', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '10\nInput: What is 12 - 1?\\Output: 11\nInput: What is 10 - 1?\\Output: 12\nInput: What is 10 - 1', 'expected': '12', 'pred_number': 10.0, 'expected_number': 12.0, 'correct': False}]",6.1265625,1217.7261500323243,0.0005567273243829296,0.007155197095821959
LLM360/Amber,ckpt_097,basic_arithmetic,True,,False,0.9,9,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 14 + 6?\\Output: 20\nInput: What is 18 - 11?\\Output: 7\nInput: What is 12 + 10', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 2 × 3?\\Output: 6\nInput: What is 2 × 4?\\Output: 8\nInput: What is 2 × 5?\\Output:', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '4\nInput: What is 10 ÷ 3?\\Output: 3\nInput: What is 10 ÷ 3?\\Output: 3\nInput: What is 10 ÷ 3', 'expected': '5', 'pred_number': 4.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 * 1?\\Output: 100\nInput: What is 10 / 1?', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 3?\\Output: 7\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 1?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 2 × 3 × 7?\\Output: 24\nInput: What is 2 × 3 × 7 × 5?\\Output: 24\nInput: What', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 3?\\Output: 3\nInput: What is 10 ÷ 3?\\Output: 3\nInput: What is 10 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 14 - 11?\\Output: 3\nInput: What is 10 - 5?\\Output: 5\nInput: What is 12 + 4?', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 14 + 12?\\Output: 26\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 + 1', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.6234375,278.11163935488145,0.0071699196358956194,0.03368345722836168
LLM360/Amber,ckpt_130,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 2 × 3?\\Output: 6\nInput: What is 2 × 2?\\Output: 4\nInput: What is 2 × 1?\\Output:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 13?\\Output: 9\nInput: What is 12 - 13?\\Output: 9\nInput: What is 12 - 1', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.40703125,267.22570723007345,0.008813264773752456,0.03994936467569058
LLM360/Amber,ckpt_163,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 10?', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 13?\\Output: 1\nInput: What is 12 - 14?\\Output: 10\nInput: What is 12 -', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.63583984375,407.2242801667491,0.00864065542442578,0.040453571647043565
LLM360/Amber,ckpt_195,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 10 × 2?\\Output: 20\nInput: What is 10 × 2?\\Output: 20\nInput: What is 10 × 2', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 + 1?\\Output', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\Output', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 13?\\Output: 9\nInput: What is 12 + 13?\\Output: 25\nInput: What is 12 -', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.28046875,221.3944291910622,0.008413892038719754,0.04616804121912
LLM360/Amber,ckpt_228,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 12 × 3?\\Output: 36\nInput: What is 12 × 3?\\Output: 36\nInput: What is 12 × 3', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 10?\\Output: 0\nInput: What is 10 - 1?\\', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 2 × 3?\\Output: 6\nInput: What is 5 × 2?\\Output: 10\nInput: What is 7 × 5?\\Output:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 10?\\Output: 2\nInput: What is 10 - 15?\\Output: 5\nInput: What is 15 - 1', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.0400390625,192.69311308128067,0.013748647978467258,0.05790792092472291
LLM360/Amber,ckpt_261,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output: 8\nInput: What is 10 - 2?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output: 5\nInput: What is 12 - 7?\\Output', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 10 × 2?\\Output: 20\nInput: What is 10 × 10?\\Output: 100\nInput: What is 10 ×', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 10 × 2?\\Output: 20\nInput: What is 10 × 10?\\Output: 100\nInput: What is 10 ×', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 12 - 10?\\Output: 2\nInput: What is 12 - 11?\\Output: 1\nInput: What is 12 - 1', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 10?\\Output: 2\nInput: What is 12 - 10?\\Output: 2\nInput: What is 12 - 1', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.24375,223.77182820175395,0.009963347161316685,0.05411278957983945
LLM360/Amber,ckpt_293,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 11 - 1?\\Output: 10\nInput: What is 11 - 1?\\Output: 10\nInput: What is 11 - 1?', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 12 × 2?\\Output: 24\nInput: What is 14 × 3?\\Output: 42\nInput: What is 15 × 4', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output: 9\nInput: What is 10 - 1?\\Output', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 5?\\Output: 5\nInput: What is 10 - 6?\\Output: 4\nInput: What is 10 - 7?\\Output', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\Output: 21\nInput: What is 3 × 7?\\Output', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 10 ÷ 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 12 - 10?\\Output: 2\nInput: What is 11 - 12?\\Output: 1\nInput: What is 13 - 1', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 11?\\Output: 1\nInput: What is 12 - 11?\\Output: 1\nInput: What is 12 - 1', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",4.667578125,617.3724971725693,0.009375775883402276,0.04645397781630019
