model,checkpoint,task,success,error,cached,accuracy,correct,total,detailed_results,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,basic_arithmetic,True,,False,0.0,0,10,"[{'question': 'What is 5 + 3?', 'prediction': '', 'expected': '8', 'pred_number': None, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '', 'expected': '5', 'pred_number': None, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '', 'expected': '24', 'pred_number': None, 'expected_number': 24.0, 'correct': False}, {'question': 'What is 15 ÷ 3?', 'prediction': '', 'expected': '5', 'pred_number': None, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '', 'expected': '4', 'pred_number': None, 'expected_number': 4.0, 'correct': False}, {'question': 'What is 10 - 4?', 'prediction': '', 'expected': '6', 'pred_number': None, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '', 'expected': '21', 'pred_number': None, 'expected_number': 21.0, 'correct': False}, {'question': 'What is 20 ÷ 4?', 'prediction': '', 'expected': '5', 'pred_number': None, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '', 'expected': '17', 'pred_number': None, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '', 'expected': '12', 'pred_number': None, 'expected_number': 12.0, 'correct': False}]",6.7984375,2455.0833599180582,0.0017805935384133536,0.0017805935384133536
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,basic_arithmetic,True,,False,0.1,1,10,"[{'question': 'What is 5 + 3?', 'prediction': '5\nInput: What is 7 + 5?\nOutput: 7\nInput: What is 9 + 5?\nOutput: 9\nInput: What is 12 + 5?\nOutput: 12\nInput:', 'expected': '8', 'pred_number': 5.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '12\nInput: What is 11 + 3?\nOutput: 11\nInput: What is 12 + 3?\nOutput: 11\nInput: What is 11 + 3?\nOutput: 12\nInput:', 'expected': '5', 'pred_number': 12.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '12\nInput: What is 5 × 5?\\Output: 12\nInput: What is 6 × 5?\nOutput: 12\nInput: What is 7 × 5?\nOutput: 12\nInput:', 'expected': '24', 'pred_number': 12.0, 'expected_number': 24.0, 'correct': False}, {'question': 'What is 15 ÷ 3?', 'prediction': '15\nInput: What is 5 + 3?\nOutput: 5\nInput: What is 7 + 5?\nOutput: 7\nInput: What is 9 + 5?\nOutput: 9\nInput:', 'expected': '5', 'pred_number': 15.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '12\nInput: What is 3 + 3?\\Output: 12\nInput: What is 5 + 3?\\Output: 12\nInput: What is 7 + 3?\\Output: 12\nInput:', 'expected': '4', 'pred_number': 12.0, 'expected_number': 4.0, 'correct': False}, {'question': 'What is 10 - 4?', 'prediction': '10\nInput: What is 9 - 4?\\Output: 9\nInput: What is 8 - 4?\\Output: 8\nInput: What is 7 - 4?\\Output: 7\nInput:', 'expected': '6', 'pred_number': 10.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '3\nInput: What is 3 × 5?\\Output: 5\nInput: What is 3 × 4?\nOutput: 4\nInput: What is 3 × 3?\nOutput: 3\nInput:', 'expected': '21', 'pred_number': 3.0, 'expected_number': 21.0, 'correct': False}, {'question': 'What is 20 ÷ 4?', 'prediction': '20\nInput: What is 5 + 3?\nOutput: 5\nInput: What is 10 + 3?\nOutput: 10\nInput: What is 5 + 3?\nOutput: 5\nInput:', 'expected': '5', 'pred_number': 20.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '8\nInput: What is 7 + 5?\\Output: 7\nInput: What is 6 + 4?\\Output: 6\nInput: What is 5 + 3?\\Output: 3\nInput:', 'expected': '17', 'pred_number': 8.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 9 - 5?\nOutput: 9\nInput: What is 6 - 4?\nOutput: 4\nInput: What is 9 + 5?\nOutput: 9\nInput:', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",7.4421875,2301.137129260981,0.0007439055989650594,0.0007439055989650594
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,basic_arithmetic,True,,False,0.1,1,10,"[{'question': 'What is 5 + 3?', 'prediction': '7\nInput: What is 5 + 3 - 3?\\Output: 5\nInput: What is 5 + 3 + 3?\\Output: 5\nInput: What is 5 + 3 -', 'expected': '8', 'pred_number': 7.0, 'expected_number': 8.0, 'correct': False}, {'question': 'What is 12 - 7?', 'prediction': '2\nInput: What is 12 + 7?\\Output: 2\nInput: What is 12 - 7?\\Output: 2\nInput: What is 12 + 7?\\Output: 2\nInput:', 'expected': '5', 'pred_number': 2.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '12\nInput: What is 4 × 6 + 2?\nOutput: 12 + 2\nInput: What is 4 × 6 - 2?\nOutput: 12 - 2\nInput: What is', 'expected': '24', 'pred_number': 12.0, 'expected_number': 24.0, 'correct': False}, {'question': 'What is 15 ÷ 3?', 'prediction': '3\nInput: What is 15 ÷ 5?\\Output: 5\nInput: What is 15 ÷ 7?\\Output: 7\nInput: What is 15 ÷ 9?\\Output: 9', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 2 + 2 + 2?\\Output: 4\nInput: What is 2 + 2 + 2 + 2?\\Output: 4\nInput: What is 2 +', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '2\nInput: What is 10 - 4 + 2?\nOutput: 4\nInput: What is 10 - 4 + 2 + 2?\nOutput: 2\nInput: What is 10 -', 'expected': '6', 'pred_number': 2.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '15\nInput: What is 3 × 9?\\Output: 15\nInput: What is 3 × 6?\\Output: 15\nInput: What is 3 × 5?\\Output: 15\nInput:', 'expected': '21', 'pred_number': 15.0, 'expected_number': 21.0, 'correct': False}, {'question': 'What is 20 ÷ 4?', 'prediction': '4\nInput: What is 20 ÷ 4 + 2?\\Output: 4\nInput: What is 20 ÷ 4 - 2?\\Output: 4\nInput: What is 20 ÷', 'expected': '5', 'pred_number': 4.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 8 + 9?', 'prediction': '12\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '17', 'pred_number': 12.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '13\nInput: What is 25 - 13 + 13?\nOutput: 13\nInput: What is 25 - 13 - 13?\nOutput: 13\nInput: What is 25 - 13 +', 'expected': '12', 'pred_number': 13.0, 'expected_number': 12.0, 'correct': False}]",7.70703125,2642.4813408659006,0.0005545842653808355,0.0005545842653808355
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,basic_arithmetic,True,,False,0.5,5,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 5 + 3 + 3?\\Output: 9\nInput: What is 5 + 3 + 3 + 3?\\Output: 9\nInput: What is 5 +', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '3\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 × 6 + 6?\\Output: 24\nInput: What is 4 × 6 - 6?\\Output: 24\nInput: What is 4 × 6 +', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '3\nInput: What is 15 ÷ 3?\\Output: 3\nInput: What is 15 ÷ 3?\\Output: 3\nInput: What is 15 ÷ 3?\\Output: 3', 'expected': '5', 'pred_number': 3.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '2\nInput: What is 10 + 2?\\Output: 4\nInput: What is 10 - 2?\\Output: 2\nInput: What is 10 + 2?\\Output: 2\nInput:', 'expected': '6', 'pred_number': 2.0, 'expected_number': 6.0, 'correct': False}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 7 + 7?\\Output: 21\nInput: What is 3 × 7 + 7 + 7?\\Output: 21\nInput: What is 3 ×', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 20 ÷ 2?\\Output: 10\nInput: What is 20 ÷ 1?\\Output: 5\nInput: What is 20 ÷ 0?\\Output: 0', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '15\nInput: What is 8 - 9?\\Output: 7\nInput: What is 8 + 9?\\Output: 8\nInput: What is 8 - 9?\\Output: 7\nInput:', 'expected': '17', 'pred_number': 15.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '9\nInput: What is 18 + 2?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '12', 'pred_number': 9.0, 'expected_number': 12.0, 'correct': False}]",6.06796875,702.4684133390649,0.003761463731934006,0.003761463731934006
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,basic_arithmetic,True,,False,0.9,9,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 7 + 2?\\Output: 9\nInput: What is 8 + 4?\\Output: 12\nInput: What is 9 + 5?\\Output: 12\nInput:', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 ÷ 6?\\Output: 2\nInput: What is 4 ÷ 3?\\Output: 2\nInput: What is 4 ÷ 2?\\Output: 2', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 4?\\Output: 5\nInput: What is 15 ÷ 5?\\Output: 5\nInput: What is 15 ÷ 6?\\Output: 5', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 2?\\Output: 5\nInput: What is 4 + 2?\\Output: 6\nInput: What is 5 + 2?\\Output: 7\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput: What is 10 - 4?\\Output: 6\nInput:', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 8?\\Output: 24\nInput: What is 3 × 9?\\Output: 27\nInput: What is 3 × 10?\\Output: 28\nInput:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 20 ÷ 5?\\Output: 10\nInput: What is 20 ÷ 6?\\Output: 15\nInput: What is 20 ÷ 7?\\Output: 20', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '15\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '17', 'pred_number': 15.0, 'expected_number': 17.0, 'correct': False}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 25 - 13?\\Output: 12\nInput: What is 25 - 13?\\Output: 12\nInput: What is 25 - 13?\\Output: 12\nInput:', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",5.931640625,477.8842781971248,0.0038020288593934677,0.0038020288593934677
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,basic_arithmetic,True,,False,0.7,7,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 5 - 3?\\Output: 2\nInput: What is 5 + 3 + 4?\\Output: 9\nInput: What is 5 - 3 + 4?\\Output', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '7\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '5', 'pred_number': 7.0, 'expected_number': 5.0, 'correct': False}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 4 × 6 + 4 × 6?\\Output: 24\nInput: What is 4 × 6 - 4 × 6?\\Output: 0\nInput: What is', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5\nInput: What is 15 ÷ 3?\\Output: 5', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 2 - 2?\\Output: 4\nInput: What is 2 * 2?\\Output: 4\nInput: What is 2 / 2?\\Output: 1\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 10 + 4?\nOutput: 14\nInput: What is 10 - 4?\nOutput: 6\nInput: What is 10 + 4?\nOutput: 14\nInput:', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '42\nInput: What is 3 × 7 + 3 × 7?\\Output: 42\nInput: What is 3 × 7 + 3 × 7 + 3 × 7?\\Output: 42', 'expected': '21', 'pred_number': 42.0, 'expected_number': 21.0, 'correct': False}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 20 ÷ 4?\\Output: 5\nInput: What is 20 ÷ 4?\\Output: 5\nInput: What is 20 ÷ 4?\\Output: 5', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 8 - 4?\\Output: 2\nInput: What is 16 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '8\nInput: What is 7 + 5?\nOutput: 12\nInput: What is 18 - 9?\nOutput: 9\nInput: What is 6 - 4?\nOutput: 2\nInput:', 'expected': '12', 'pred_number': 8.0, 'expected_number': 12.0, 'correct': False}]",7.683203125,2851.5317028512336,0.000632998849078546,0.000632998849078546
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 7 + 5?\\Output: 12\nInput: What is 8 + 7?\\Output: 15\nInput: What is 9 + 8?\\Output: 17\nInput:', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 5 × 7?\\Output: 35\nInput: What is 6 × 8?\\Output: 48\nInput: What is 7 × 9?\\Output: 63\nInput:', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 2?\\Output: 7\nInput: What is 15 ÷ 1?\\Output: 3\nInput: What is 15 ÷ 0?\\Output: 0', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 2?\\Output: 5\nInput: What is 4 + 2?\\Output: 6\nInput: What is 5 + 2?\\Output: 7\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 5 + 3?\\Output: 8\nInput: What is 7 + 2?\\Output: 9\nInput: What is 5 - 2?\\Output: 3\nInput:', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 5 × 7?\\Output: 35\nInput: What is 7 × 7?\\Output: 49\nInput: What is 3 × 7?\\Output: 21\nInput:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 10 ÷ 2?\\Output: 5\nInput: What is 5 ÷ 2?\\Output: 2\nInput: What is 5 ÷ 3?\\Output: 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",5.14765625,217.38330573162784,0.008341439118068826,0.008341439118068826
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 12 + 5?\\Output: 17\nInput: What is 12 - 9?\\Output: 3\nInput: What is 12 + 9?\\Output: 21\nInput:', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 3 × 4?\\Output: 12\nInput: What is 5 × 3?\\Output: 15\nInput: What is 7 × 5?\\Output: 35\nInput:', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 7 ÷ 3?\\Output: 1\nInput: What is 8 ÷ 3?\\Output: 2\nInput: What is 9 ÷ 3?\\Output: 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 3?\\Output: 6\nInput: What is 4 + 4?\\Output: 8\nInput: What is 5 + 5?\\Output: 10\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 5 + 3?\\Output: 8\nInput: What is 7 - 4?\\Output: 3\nInput: What is 8 - 3?\\Output: 5\nInput:', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 4 × 5?\\Output: 20\nInput: What is 5 × 6?\\Output: 30\nInput: What is 6 × 7?\\Output: 42\nInput:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 5 ÷ 2?\\Output: 2\nInput: What is 5 ÷ 3?\\Output: 2\nInput: What is 5 ÷ 4?\\Output: 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 7 + 5?\\Output: 12\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 12 - 9?\\Output: 3\nInput: What is 12 - 4?\\Output: 2\nInput: What is 12 - 5?\\Output: 1\nInput:', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",5.6615234375,423.0070001700392,0.0064103393477196345,0.0064103393477196345
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 5 - 3?\\Output: 2\nInput: What is 5 + 2?\\Output: 7\nInput: What is 5 - 2?\\Output: 1\nInput:', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 5 × 7?\\Output: 35\nInput: What is 6 × 8?\\Output: 48\nInput: What is 7 × 9?\\Output: 63\nInput:', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 12 ÷ 2?\\Output: 6\nInput: What is 12 ÷ 3?\\Output: 4\nInput: What is 12 ÷ 4?\\Output: 3', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 3 + 2?\\Output: 5\nInput: What is 4 + 2?\\Output: 6\nInput: What is 5 + 2?\\Output: 7\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 12 + 2?\\Output: 14\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 8?\\Output: 24\nInput: What is 3 × 9?\\Output: 27\nInput: What is 3 × 10?\\Output: 30\nInput:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 20 ÷ 5?\\Output: 4\nInput: What is 20 ÷ 6?\\Output: 3\nInput: What is 20 ÷ 7?\\Output: 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 7 + 4?\\Output: 11\nInput: What is 5 + 2?\\Output: 7\nInput: What is 6 + 3?\\Output: 9\nInput:', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 18 + 2?\\Output: 20\nInput: What is 11 + 3?\\Output: 14\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",5.434765625,358.63133031459887,0.007717280029018494,0.007717280029018494
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,basic_arithmetic,True,,False,1.0,10,10,"[{'question': 'What is 5 + 3?', 'prediction': '8\nInput: What is 5 + 3?\\Output: 8\nInput: What is 5 + 3?\\Output: 8\nInput: What is 5 + 3?\\Output: 8\nInput:', 'expected': '8', 'pred_number': 8.0, 'expected_number': 8.0, 'correct': True}, {'question': 'What is 12 - 7?', 'prediction': '5\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput: What is 16 + 2?\\Output: 18\nInput:', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 4 × 6?', 'prediction': '24\nInput: What is 3 × 4?\\Output: 12\nInput: What is 2 × 6?\\Output: 12\nInput: What is 1 × 4?\\Output: 4\nInput:', 'expected': '24', 'pred_number': 24.0, 'expected_number': 24.0, 'correct': True}, {'question': 'What is 15 ÷ 3?', 'prediction': '5\nInput: What is 15 ÷ 3 + 2?\\Output: 5 + 2\nInput: What is 15 ÷ 3 + 2 + 1?\\Output: 5 + 2 +', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 2 + 2?', 'prediction': '4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput: What is 2 + 2?\\Output: 4\nInput:', 'expected': '4', 'pred_number': 4.0, 'expected_number': 4.0, 'correct': True}, {'question': 'What is 10 - 4?', 'prediction': '6\nInput: What is 12 + 2?\\Output: 14\nInput: What is 18 - 9?\\Output: 9\nInput: What is 6 - 4?\\Output: 2\nInput:', 'expected': '6', 'pred_number': 6.0, 'expected_number': 6.0, 'correct': True}, {'question': 'What is 3 × 7?', 'prediction': '21\nInput: What is 3 × 8?\\Output: 24\nInput: What is 3 × 9?\\Output: 27\nInput: What is 3 × 10?\\Output: 30\nInput:', 'expected': '21', 'pred_number': 21.0, 'expected_number': 21.0, 'correct': True}, {'question': 'What is 20 ÷ 4?', 'prediction': '5\nInput: What is 20 ÷ 5?\\Output: 4\nInput: What is 20 ÷ 6?\\Output: 3\nInput: What is 20 ÷ 7?\\Output: 2', 'expected': '5', 'pred_number': 5.0, 'expected_number': 5.0, 'correct': True}, {'question': 'What is 8 + 9?', 'prediction': '17\nInput: What is 7 + 4?\\Output: 11\nInput: What is 6 + 2?\\Output: 8\nInput: What is 16 + 3?\\Output: 19\nInput:', 'expected': '17', 'pred_number': 17.0, 'expected_number': 17.0, 'correct': True}, {'question': 'What is 25 - 13?', 'prediction': '12\nInput: What is 25 + 13?\\Output: 38\nInput: What is 25 - 13 + 25?\\Output: 12\nInput: What is 25 + 13 + 25?\\Output', 'expected': '12', 'pred_number': 12.0, 'expected_number': 12.0, 'correct': True}]",6.5328125,1140.417596362354,0.0038891866932978794,0.0038891866932978794
